SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
67,Abdul Gani,NIZAMABAD,B. C. United Front,,Graduate,"Rs 36,33,263","Rs 7,05,948, "
68,Abdul Hafeez Abdul Aziz,BULDHANA,BSP,0,12th Pass,"Rs 4,25,000","Rs 2,25,000, "
69,Abdul Hameed,BIDAR,Welfare Party of India,0,Post Graduate,"Rs 1,52,87,118","Rs 0, "
70,Abdul Hussain,BARAMULLA,IND,0,Others,"Rs 2,14,41,634","Rs 6,97,808, "
71,Abdul Jabbar K K,KANNUR,SDPI,,10th Pass,"Rs 34,03,545","Rs 0, "
72,Abdul Jaleel,WAYANAD,SDPI,0,Graduate,"Rs 88,13,205","Rs 0, "
73,Abdul Kareem,CHALAKUDY,RJD,0,10th Pass,"Rs 27,46,000","Rs 0, "
74,Abdul Kareem Khan,NIZAMABAD,IND,0,8th Pass,"Rs 68,50,000","Rs 8,00,000, "
75,Abdul Khaleque,MALDAHA UTTAR,AIUDF,0,Graduate,"Rs 43,67,584","Rs 9,80,000, "
76,Abdul Latif,GURGAON,IND,0,5th Pass,"Rs 50,000","Rs 0, "
77,Abdul Latif Abdul Kadir Shaikh,MUMBAI SOUTH,IND,,8th Pass,"Rs 33,93,500","Rs 0, "
78,Abdul Majid Chouhan,JAMMU,IND,0,10th Pass,"Rs 26,00,000","Rs 0, "
79,Abdul Mannan,SREERAMPUR,INC,,Graduate,"Rs 22,06,559","Rs 0, "
80,Abdul Mannan Barbhuiya,SILCHAR,AAP,0,Graduate,"Rs 10,42,000","Rs 9,00,000, "
81,Abdul Mannan Hossain,MURSHIDABAD,INC,,Graduate,"Rs 1,38,46,286","Rs 0, "
82,Abdul Muneer,LAKSHADWEEP,CPI(M),0,Post Graduate,"Rs 13,95,365","Rs 0, "
83,Abdul Rahim,HAZARIBAGH,Bahujan Mukti Party,0,Graduate,"Rs 18,00,000","Rs 0, "
84,Abdul Rahman,ARARIA,BSP,0,Literate,"Rs 8,13,848","Rs 0, "
85,"Abdul Rahman, B.",VELLORE,IND,0,10th Pass,"Rs 10,36,500","Rs 0, "
86,"Abdul Rahman, M.",VELLORE,IUML,0,Post Graduate,"Rs 4,68,64,136","Rs 98,36,275, "
87,"Abdul Rahman, N.",VELLORE,IND,0,10th Pass,"Rs 5,30,000","Rs 0, "
88,"Abdul Rahman, R.",PERAMBALUR,IND,0,10th Pass,"Rs 81,65,500","Rs 3,40,000, "
89,Abdul Rashid Sheikh,BARAMULLA,IND,0,Graduate,"Rs 23,01,000","Rs 8,83,000, "
90,Abdul Rashid Tantray,SRINAGAR,IND,0,10th Pass,"Rs 4,10,000","Rs 0, "
91,Abdul Safiq Khan,RAIPUR,IND,0,10th Pass,"Rs 5,82,300","Rs 0, "
92,Abdul Salam,GARHWAL,IND,0,Illiterate,"Rs 21,70,500","Rs 0, "
93,Abdul Salam N U,KASARAGOD,SDPI,,Post Graduate,"Rs 36,20,329","Rs 11,82,188, "
94,"Abdul Salam, A.",COIMBATORE,IND,0,5th Pass,"Rs 17,68,600","Rs 7,00,000, "
95,Abdul Sami Salmani,NORTH EAST DELHI,BSP,0,Others,"Rs 43,31,561","Rs 1,60,000, "
96,Abdul Tahir (Bablu - Advocate),BHOPAL,IND,0,Graduate Professional,"Rs 25,73,572","Rs 1,600, "
97,Abdul Wafati Ansari Urf Yuvraj Tailors,REWA,Samata Party,0,10th Pass,"Rs 11,31,000","Rs 12,00,000, "
98,Abdul Waheed Shaik,GUNTUR,INC,0,10th Pass,"Rs 76,54,500","Rs 70,00,000, "
99,Abdul Wahid I,SALEM,IND,0,Post Graduate,"Rs 1,800","Rs 0, "
100,Abdur Rahaman,KATIHAR,Bharatiya Momin Front,0,12th Pass,"Rs 6,27,100","Rs 35,000, "
101,Abdur Rezak Sk,TAMLUK,IND,0,12th Pass,"Rs 3,68,000","Rs 8,00,000, "
102,Abdurahiman Vadakkathinakath,PONNANI,IND,0,8th Pass,"Rs 54,88,050","Rs 0, "
103,Abdurahiman Varikottil,PONNANI,IND,0,Literate,"Rs 1,31,10,077","Rs 0, "
104,Abdurahiman Vayarakath,PONNANI,IND,0,Literate,"Rs 30,37,410","Rs 3,75,000, "
105,Abdus Sadek Sarkar,BALURGHAT,AIUDF,,Graduate Professional,"Rs 1,09,07,085","Rs 30,64,329, "
106,Abdus Sattar Mujahed,SECUNDERABAD,Akhil Bharatiya Muslim League (Secular),,Graduate,"Rs 17,85,000","Rs 0, "
107,Abdus Sayeed,JANGIPUR,SUCI(C),0,12th Pass,"Rs 12,04,412","Rs 0, "
108,Abdus Sukur,BAHARAMPUR,IUML,0,Others,"Rs 68,29,000","Rs 0, "
109,Abha Pandey,MAHASAMUND,Chhattisgarh Swabhiman Manch,0,8th Pass,"Rs 57,08,000","Rs 1,50,000, "
110,Abhay Subrao Kulkarni,THANE,IND,0,8th Pass,"Rs 2,000","Rs 0, "
111,Abhijit Anil Apte,MAVAL,IND,0,12th Pass,"Rs 4,62,306","Rs 0, "
112,Abhijit Das (Bobby),DIAMOND HARBOUR,BJP,,Post Graduate,"Rs 41,53,000","Rs 0, "
113,Abhijit Mukherjee,JANGIPUR,INC,0,Graduate Professional,"Rs 6,30,14,502","Rs 1,51,60,000, "
114,Abhijit Ramesh Panse,THANE,MNS,,Graduate,"Rs 69,95,050","Rs 58,00,000, "
115,Abhijit Sarkar,JANGIPUR,IND,0,5th Pass,"Rs 92,600","Rs 0, "
116,Abhijit Shriram Hegshetye,RATNAGIRI SINDHUDURG,AAP,0,Post Graduate,"Rs 2,06,92,366","Rs 42,73,594, "
117,Abhilakh Rawat,BARABANKI,IND,0,10th Pass,"Rs 4,27,900","Rs 0, "
118,Abhimanyu Singh Patel,VARANASI,Bahujan Mukti Party,0,12th Pass,"Rs 24,45,000","Rs 1,39,257, "
119,Abhimod,PALAKKAD,IND,0,Post Graduate,"Rs 29,08,779","Rs 3,70,000, "
120,Abhinesh Maharshi,CHURU,BSP,0,Post Graduate,"Rs 3,82,38,575","Rs 41,30,000, "
121,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Post Graduate,"Rs 1,51,99,272","Rs 0, "
122,Abhishek Mishra,LUCKNOW,SP,0,Doctorate,"Rs 1,51,97,365","Rs 7,00,000, "
123,Abhishek Singh,RAJNANDGAON,BJP,0,Graduate Professional,"Rs 4,40,93,207","Rs 0, "
124,Aboobacker Siddique,KASARAGOD,IND,0,8th Pass,"Rs 38,000","Rs 0, "
125,Aboobakker Sidique,PALAKKAD,AITC,0,Illiterate,"Rs 47,004","Rs 0, "
126,Abraham Benhur,WAYANAD,IND,0,Post Graduate,"Rs 99,99,242","Rs 14,21,961, "
127,Abrar Ahmad Mahmud Khan,YAVATMAL WASHIM,Welfare Party of India,0,Others,"Rs 62,99,991","Rs 7,00,000, "
128,Abrar Beg Sarvar Beg Mirza,JALGAON,RPI,0,8th Pass,"Rs 85,000","Rs 0, "
129,Abu Farhan Azmi,MUMBAI NORTH CENTRAL,SP,0,12th Pass,"Rs 63,76,88,791","Rs 1,58,72,212, "
130,Abu Hasem Kahn Chowdhury,MALDAHA DAKSHIN,INC,0,Doctorate,"Rs 1,15,60,825","Rs 6,54,320, "
131,Abu Naseem Khan,MAINPURI,Peace Party,0,12th Pass,"Rs 52,25,000","Rs 1,60,000, "
132,Abu Qaiser,BHAGALPUR,JD(U),,Graduate,"Rs 4,51,38,014","Rs 17,00,000, "
133,Abul Awal,BARPETA,SP,0,12th Pass,"Rs 12,24,844","Rs 3,79,980, "
134,Abul Hasan,RANCHI,IND,0,Post Graduate,"Rs 1,65,500","Rs 0, "
135,Abul Hasnat Khan,MALDAHA DAKSHIN,CPI(M),0,Post Graduate,"Rs 1,07,85,663","Rs 0, "
136,Abul Qasem,ULUBERIA,Indian Unity Centre,0,Post Graduate,"Rs 46,13,889","Rs 0, "
137,Abullais.T.P,PONNANI,IND,0,12th Pass,"Rs 66,92,346","Rs 0, "
138,Acharya Pramod Krishnam,SAMBHAL,INC,0,Post Graduate,"Rs 4,99,00,443","Rs 0, "
139,Achchhelal,LALGANJ,IND,0,5th Pass,"Rs 12,51,500","Rs 0, "
140,Achhe Lal Gupta,GORAKHPUR,IND,0,8th Pass,"Rs 17,38,500","Rs 6,00,000, "
141,Achutananda Nag,BOLANGIR,Ambedkarite Party of India,0,Graduate Professional,"Rs 2,08,500","Rs 0, "
142,Ad. Dr. Kolekar Anita Balasaheb,BHIWANDI,Prabuddha Republican Party,0,Doctorate,"Rs 4,50,000","Rs 0, "
143,Ad. Mahesh Vitthalrao Kharat,JALNA,IND,0,Post Graduate,"Rs 1,23,000","Rs 0, "
144,Ad. Tanaji Sukdeo Jaibhave,NASHIK,CPI(M),0,Graduate Professional,"Rs 72,79,479","Rs 23,69,620, "
145,Adagooru H Vishwanath,MYSORE,INC,0,Graduate Professional,"Rs 3,01,87,177","Rs 0, "
146,Adala Prabhakara Reddy,NELLORE,TDP,0,12th Pass,"Rs 1,28,25,85,640","Rs 13,16,46,350, "
147,Adarsh Shashtri,LUCKNOW,IND,0,Post Graduate,"Rs 1,88,79,925","Rs 61,07,118, "
148,Adarsh Shastri,ALLAHABAD,AAP,0,Graduate,"Rs 2,99,67,925","Rs 61,07,118, "
149,Adesh Tyagi,MIRZAPUR,IND,0,Graduate,"Rs 97,15,000","Rs 3,46,480, "
150,Adhalrao Shivaji Dattatrey,SHIRUR,SHS,,Others,"Rs 25,38,80,475","Rs 6,18,10,866, "
151,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,,10th Pass,"Rs 8,14,65,854","Rs 0, "
152,Aditya Kiritkumar Raval,AHMEDABAD EAST,Vishva Hindustani Sangathan,,12th Pass,"Rs 6,42,000","Rs 50,000, "
153,Aditya Narayan,NAWADA,IND,0,Graduate,"Rs 1,57,70,000","Rs 0, "
154,Aditya Rajan Shirodkar,MUMBAI SOUTH CENTRAL,MNS,,Graduate,"Rs 2,28,50,061","Rs 58,11,022, "
155,Adityanath,GORAKHPUR,BJP,,Graduate,"Rs 72,17,674","Rs 0, "
156,Adsul Anandrao Vithoba,AMRAVATI,SHS,,Graduate,"Rs 3,25,96,257","Rs 15,87,104, "
157,Adv Dipak Dattaram Nevgi,RATNAGIRI SINDHUDURG,Socialist Party (India),0,Post Graduate,"Rs 1,34,31,575","Rs 92,000, "
158,Adv. A. Jayaram,THRISSUR,BSP,0,Graduate Professional,"Rs 2,47,02,613","Rs 6,28,000, "
159,Adv. Ajay Sitaram Karande Patil,PARBHANI,SP,0,Post Graduate,"Rs 95,10,000","Rs 3,30,000, "
160,Adv. Bandya Sane Alias Bandu Sampatrao Sane,AMRAVATI,IND,0,Post Graduate,"Rs 31,300","Rs 0, "
161,Adv. Basheer Alady,KASARAGOD,BSP,0,Post Graduate,"Rs 7,85,138","Rs 0, "
162,Adv. Chirayinkeezhu Gopinathan,ATTINGAL,RPI(A),0,Graduate Professional,"Rs 9,20,662","Rs 1,00,000, "
163,Adv. Deelip Kulkarni,NANDED,IND,0,Graduate Professional,"Rs 29,90,000","Rs 50,000, "
164,Adv. Jawahar Leonardo Dias,SOUTH GOA,Goemcarancho Otrec Astro,,Post Graduate,"Rs 56,42,23,740","Rs 4,84,000, "
165,Adv. K. D. Shinde,SANGLI,JD(S),0,Post Graduate,"Rs 43,87,851","Rs 6,00,000, "
166,Adv. M. R. Sarin,ATTINGAL,JD(U),0,Graduate Professional,"Rs 7,90,325","Rs 87,000, "
167,Adv. Mahendra Dadasaheb Shinde,SHIRDI,BSP,0,Doctorate,"Rs 52,137","Rs 90,000, "
168,Adv. N.Sreeprakash,MALAPPURAM,BJP,0,Graduate Professional,"Rs 67,81,097","Rs 3,17,500, "
169,Adv. Narendra Keshav Sawaikar,SOUTH GOA,BJP,0,Graduate Professional,"Rs 62,60,382","Rs 0, "
170,Adv. P. P. A. Sageer,WAYANAD,AAP,0,Graduate Professional,"Rs 45,39,401","Rs 57,788, "
171,Adv. Peelipose Thomas,PATHANAMTHITTA,IND,,Graduate Professional,"Rs 56,48,161","Rs 9,28,336, "
172,Adv. Perurkada Harikumar,THIRUVANANTHAPURAM,SHS,,Graduate Professional,"Rs 25,11,500","Rs 0, "
173,Adv. Prabhakar Mahaguji Dadmal,GADCHIROLI CHIMUR,RPI,0,Post Graduate,"Rs 5,60,000","Rs 0, "
174,Adv. Raju Mangeshkar,SOUTH GOA,CPI,,Graduate Professional,"Rs 49,04,426","Rs 0, "
175,Adv. Ravindra Dnyandeo Bhojane,BULDHANA,Ambedkarite Party of India,0,Graduate Professional,"Rs 1,19,757","Rs 0, "
176,Adv. Sanjeev Sidram Sadafule,SOLAPUR,BSP,0,Graduate Professional,"Rs 23,97,559","Rs 6,25,000, "
177,Adv. Savita Balkrishna Shinde,MADHA,AAP,0,Graduate Professional,"Rs 27,37,166","Rs 0, "
178,Adv. Shailendra Rameshwar Yavalkar,OSMANABAD,SP,0,Graduate Professional,"Rs 2,22,43,300","Rs 11,25,000, "
179,Adv. Varsha Madgulkar,SATARA,IND,0,Graduate Professional,"Rs 1,30,52,635","Rs 87,06,000, "
180,Adv.A.N.Shamseer,VADAKARA,CPI(M),0,Graduate Professional,"Rs 13,30,825","Rs 0, "
181,Adv.Bindhu Krishna,ATTINGAL,INC,,Post Graduate,"Rs 37,64,729","Rs 8,53,967, "
182,Adv.Dadasaheb Alias Dhanu Bhikaji Walthare,BHANDARA GONDIYA,IND,0,Graduate Professional,"Rs 53,95,083","Rs 0, "
183,Adv.Dean Kuriakose,IDUKKI,INC,,Not Given,"Rs 3,14,050","Rs 4,11,719, "
184,Adv.Joice George,IDUKKI,IND,,Post Graduate,"Rs 1,73,96,207","Rs 94,17,720, "
185,Adv.M.A.Bindu,ALAPPUZHA,SUCI(C),0,Graduate Professional,"Rs 35,43,000","Rs 0, "
186,Adv.P.K.Jayakrishnan,MAVELIKKARA,BSP,0,Post Graduate,"Rs 1,54,10,000","Rs 4,00,000, "
187,Adv.P.Sudheer,MAVELIKKARA,BJP,,Graduate Professional,"Rs 3,29,804","Rs 0, "
188,Adv.S.Prahladan,KOLLAM,BSP,0,Graduate Professional,"Rs 2,16,45,000","Rs 0, "
189,Adv.Shinde Ashok Dagdu,JALGAON,Prabuddha Republican Party,0,Post Graduate,"Rs 50,000","Rs 0, "
190,Adv.Shivajirao Shivaramji Moghe,YAVATMAL WASHIM,INC,,Graduate Professional,"Rs 4,26,89,718","Rs 1,13,15,807, "
191,Adv.Sobji Devalya Gavit,NANDURBAR,IND,0,Graduate Professional,"Rs 1,01,00,000","Rs 80,000, "
192,Adv.Subhash Balasaheb Patil (Anna),MADHA,Bahujan Mukti Party,,Post Graduate,"Rs 85,81,681","Rs 15,02,262, "
193,Afzal Ansari,BALLIA,Qaumi Ekta Dal,,Post Graduate,"Rs 6,90,36,111","Rs 0, "
194,Afzal Siddiqui,FATEHPUR,BSP,0,12th Pass,"Rs 6,07,32,397","Rs 0, "
195,Aga Syed Mohsin,SRINAGAR,IND,0,Others,"Rs 65,50,000","Rs 0, "
196,Agasty Pradip,BARDHAMAN DURGAPUR,INC,,Graduate Professional,"Rs 3,60,99,151","Rs 87,84,830, "
197,Aghav Jayprakash Sitaram,BEED,IND,,10th Pass,"Rs 1,51,000","Rs 0, "
198,Agoram. K,MAYILADUTHURAI,PMK,,Graduate,"Rs 60,97,180","Rs 30,45,000, "
199,Agrawal Kunjbihari Jugalkishor,JALNA,SP,,Graduate,"Rs 5,01,58,221","Rs 2,72,883, "
200,Ahamad Aziz Ahamad Mateen,AURANGABAD,IND,0,8th Pass,"Rs 2,40,000","Rs 0, "
201,Ahamed Hossain,KRISHNANAGAR,IUML,0,Post Graduate,"Rs 1,66,00,547","Rs 0, "
202,Aherwan Dharmender Rawat,FARIDABAD,IND,0,12th Pass,"Rs 61,09,500","Rs 3,35,000, "
203,Ahir Hansraj Gangaram,CHANDRAPUR,BJP,,10th Pass,"Rs 1,55,48,000","Rs 99,500, "
204,Ahmad Hussain Ansari,DHANBAD,Jharkhand Disom Party,0,Graduate Professional,"Rs 1,12,86,622","Rs 0, "
205,Ahmad Parvez Iqbal Ahmad Nur Mohammad,YAVATMAL WASHIM,SP,,Graduate,"Rs 39,57,500","Rs 0, "
206,Ahmed Sohel Siddiqui,VARANASI,IND,0,12th Pass,"Rs 5,35,403","Rs 0, "
207,Ahshan Ali,GURGAON,IND,0,Graduate,"Rs 20,90,000","Rs 0, "
208,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,AMALAPURAM,INC,,Post Graduate,"Rs 1,26,25,844","Rs 25,04,500, "
209,Aiyyar Ganesh Rangayya,MUMBAI SOUTH CENTRAL,BSP,0,Graduate Professional,"Rs 3,42,00,185","Rs 26,50,000, "
210,Ajad,MIRZAPUR,GGP,0,Literate,"Rs 2,77,000","Rs 0, "
211,Ajad Ali,GAUHATI,IND,0,Others,"Rs 12,71,997","Rs 5,36,237, "
212,Ajad Geeta Prasad Sharma,NAWADA,IND,0,12th Pass,"Rs 70,80,000","Rs 0, "
213,Ajaj Julmoin Khan (Ajaj Khan),NAGPUR,IND,,12th Pass,"Rs 1,37,000","Rs 0, "
214,Ajay Agrawal,RAE BARELI,BJP,0,Graduate Professional,"Rs 1,73,65,819","Rs 0, "
215,Ajay Arjun Singh,SATNA,INC,,Post Graduate,"Rs 25,48,76,883","Rs 1,38,45,072, "
216,Ajay Ghosh,DIAMOND HARBOUR,SUCI(C),0,Post Graduate,"Rs 33,82,445","Rs 0, "
217,Ajay Kumar,SITAMARHI,IND,,12th Pass,"Rs 7,16,000","Rs 0, "
218,Ajay Kumar,CHURU,IND,0,Post Graduate,"Rs 49,26,438","Rs 0, "
219,Ajay Kumar,JAMSHEDPUR,JVM(P),,Post Graduate,"Rs 12,43,49,901","Rs 69,79,341, "
220,Ajay Kumar,BHADOHI,Pragatisheel Manav Samaj Party,0,Post Graduate,"Rs 13,16,000","Rs 0, "
221,Ajay Kumar,KHERI,BJP,,Graduate Professional,"Rs 2,65,05,977","Rs 1,00,00,000, "
222,Ajay Kumar Bain,BASIRHAT,SUCI(C),0,Graduate,"Rs 13,07,472","Rs 0, "
223,Ajay Kumar Behera,JAGATSINGHPUR,CPI,0,Post Graduate,"Rs 51,37,088","Rs 0, "
224,Ajay Kumar Bhagat,JALANDHAR,IND,0,12th Pass,"Rs 76,000","Rs 0, "
225,Ajay Kumar Dubey,DHANBAD,INC,0,12th Pass,"Rs 74,84,762","Rs 0, "
226,Ajay Kumar Khemka,CHANDNI CHOWK,Kalyankari Jantantrik Party,0,Graduate,"Rs 47,24,526","Rs 6,25,000, "
227,Ajay Kumar Panjabrao Hingankar,AKOLA,AAP,0,Graduate,"Rs 80,35,000","Rs 7,00,000, "
228,Ajay Kumar Prabhakar,GONDA,Bahujan Mukti Party,0,Graduate Professional,"Rs 60,000","Rs 0, "
229,Ajay Kumar Sharma,JAIPUR RURAL,Jago Party,0,Graduate,"Rs 45,50,119","Rs 0, "
230,Ajay Maken,NEW DELHI,INC,,Post Graduate,"Rs 6,10,98,675","Rs 5,00,000, "
231,Ajay Nishad,MUZAFFARPUR,BJP,0,Graduate,"Rs 14,57,12,654","Rs 9,89,888, "
232,Ajay Pal Singh,ETAWAH,BSP,,Post Graduate,"Rs 15,01,10,000","Rs 0, "
233,Ajay Pali,BILASPUR,IND,0,Literate,"Rs 4,80,000","Rs 1,79,344, "
234,Ajay Pratap Singh,SATNA,IND,0,12th Pass,"Rs 9,00,000","Rs 0, "
235,Ajay Rai,VARANASI,INC,,Graduate,"Rs 87,21,893","Rs 0, "
236,Ajay Rawat,DHAR,BSP,0,12th Pass,"Rs 64,000","Rs 0, "
237,Ajay Shah Makrai,BETUL,INC,0,Post Graduate,"Rs 4,75,58,071","Rs 12,46,200, "
238,Ajay Singla,CHANDIGARH,IND,,10th Pass,"Rs 98,77,806","Rs 0, "
239,Ajay Tamta,ALMORA,BJP,0,12th Pass,"Rs 63,66,653","Rs 27,57,846, "
240,Ajay Vasant Paithankar,PUNE,IND,0,Graduate,"Rs 1,40,80,500","Rs 2,37,000, "
241,Ajay Verma,DHAURAHRA,Bharatiya Jan Kranti Dal (Democratic),0,Graduate,"Rs 12,81,743","Rs 1,85,000, "
242,Ajay Verma,RAIPUR,Chhattisgarh Swabhiman Manch,0,Others,"Rs 3,88,35,962","Rs 0, "
